,Method,Registered,Ballots Cast,Turnout (%),CAROL LEE TOLBERT,REBECCA KAPLAN,MICK STORM,THERESA ANDERSON,IGNACIO DE LA FUENTE,Write-In,Over Votes,Under Votes
356500,TC-Vote by Mail Reporting,1178,361,30.65,41,92,13,23,169,,,23
361100,TC-Election Day Reporting,565,202,35.75,29,53,5,8,85,1,1,20
361100,TC-Vote by Mail Reporting,565,170,30.09,18,60,4,10,61,,,17
361130,TC-Election Day Reporting,521,186,35.7,36,47,2,17,72,1,2,9
361130,TC-Vote by Mail Reporting,521,155,29.75,29,34,6,8,71,1,3,3
361200,TC-Election Day Reporting,971,378,38.93,87,107,7,24,127,3,3,20
361200,TC-Vote by Mail Reporting,971,250,25.75,63,76,4,22,77,,,8
361300,TC-Election Day Reporting,502,169,33.67,53,37,5,10,53,,2,9
361300,TC-Vote by Mail Reporting,502,122,24.3,26,40,3,4,41,1,2,5
361500,TC-Election Day Reporting,1062,383,36.06,82,94,16,26,127,4,2,32
361500,TC-Vote by Mail Reporting,1062,291,27.4,62,108,4,26,83,1,2,5
362100,TC-Election Day Reporting,619,239,38.61,41,74,2,9,101,4,2,6
362100,TC-Vote by Mail Reporting,619,209,33.76,37,68,4,15,74,,5,6
362110,TC-Election Day Reporting,1207,429,35.54,86,138,5,25,142,,5,28
362110,TC-Vote by Mail Reporting,1207,327,27.09,67,111,3,12,120,,5,9
362300,TC-Election Day Reporting,853,307,35.99,59,84,6,18,106,3,2,29
362300,TC-Vote by Mail Reporting,853,313,36.69,52,104,3,32,107,,3,12
362500,TC-Election Day Reporting,384,150,39.06,38,30,7,10,55,2,,8
362500,TC-Vote by Mail Reporting,384,108,28.13,22,23,1,7,42,2,2,9
