Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
325600,TC-Election Day Reporting,804,206,25.62,54,107,3,,42
325600,TC-Vote by Mail Reporting,804,419,52.11,125,220,1,2,71
325700,TC-Election Day Reporting,1289,520,40.34,97,294,4,,125
325700,TC-Vote by Mail Reporting,1289,554,42.98,133,336,2,,83
325800,TC-Election Day Reporting,1242,461,37.12,92,239,2,,128
325800,TC-Vote by Mail Reporting,1242,528,42.51,131,297,1,,99
333100,TC-Election Day Reporting,966,371,38.41,86,190,5,1,89
333100,TC-Vote by Mail Reporting,966,375,38.82,90,218,,2,65
333200,TC-Election Day Reporting,1610,490,30.43,120,253,6,,111
333200,TC-Vote by Mail Reporting,1610,709,44.04,185,381,4,3,136
333400,TC-Election Day Reporting,683,139,20.35,32,63,1,,43
333400,TC-Vote by Mail Reporting,683,260,38.07,78,134,2,,46
333410,TC-Election Day Reporting,1270,383,30.16,85,191,4,,103
333410,TC-Vote by Mail Reporting,1270,629,49.53,206,314,4,2,103
333500,TC-Election Day Reporting,1133,383,33.8,74,225,1,,83
333500,TC-Vote by Mail Reporting,1133,466,41.13,101,290,2,,73
333510,TC-Election Day Reporting,715,265,37.06,48,142,3,,72
333510,TC-Vote by Mail Reporting,715,306,42.8,74,173,3,1,55
333600,TC-Election Day Reporting,471,121,25.69,26,65,,,30
333600,TC-Vote by Mail Reporting,471,226,47.98,70,110,1,1,44
333800,TC-Election Day Reporting,1319,419,31.77,80,233,7,,99
333800,TC-Vote by Mail Reporting,1319,506,38.36,128,285,2,1,90
333900,TC-Election Day Reporting,802,223,27.81,50,118,1,,54
333900,TC-Vote by Mail Reporting,802,287,35.79,75,165,3,1,43
334000,TC-Election Day Reporting,931,273,29.32,62,143,3,1,64
334000,TC-Vote by Mail Reporting,931,273,29.32,84,141,1,2,45
334100,TC-Election Day Reporting,1205,372,30.87,63,207,6,,96
334100,TC-Vote by Mail Reporting,1205,360,29.88,101,199,4,3,53
334600,TC-Election Day Reporting,1367,498,36.43,109,248,,,141
334600,TC-Vote by Mail Reporting,1367,474,34.67,171,233,6,,64
334700,TC-Election Day Reporting,570,213,37.37,39,126,2,,46
334700,TC-Vote by Mail Reporting,570,167,29.3,50,100,1,,16
335000,TC-Election Day Reporting,1299,489,37.64,100,271,3,,115
335000,TC-Vote by Mail Reporting,1299,403,31.02,100,238,3,1,61
335100,TC-Election Day Reporting,1171,445,38,82,245,5,1,112
335100,TC-Vote by Mail Reporting,1171,311,26.56,75,185,3,,48
335200,TC-Election Day Reporting,574,239,41.64,54,127,4,,54
335200,TC-Vote by Mail Reporting,574,172,29.97,35,110,1,2,24
335300,TC-Election Day Reporting,1029,391,38,72,219,,,100
335300,TC-Vote by Mail Reporting,1029,297,28.86,62,183,,2,50
335400,TC-Election Day Reporting,1376,435,31.61,83,252,8,,92
335400,TC-Vote by Mail Reporting,1376,355,25.8,70,245,1,,39
335500,TC-Election Day Reporting,529,213,40.26,46,118,4,,45
335500,TC-Vote by Mail Reporting,529,129,24.39,30,68,3,,28
335700,TC-Election Day Reporting,1018,344,33.79,85,166,3,,90
335700,TC-Vote by Mail Reporting,1018,380,37.33,109,206,4,2,59
335710,TC-Election Day Reporting,699,249,35.62,48,134,2,,65
335710,TC-Vote by Mail Reporting,699,259,37.05,75,144,2,,38
335810,TC-Election Day Reporting,713,181,25.39,29,103,2,,47
335810,TC-Vote by Mail Reporting,713,231,32.4,63,128,1,3,36
335900,TC-Election Day Reporting,775,343,44.26,76,184,1,1,81
335900,TC-Vote by Mail Reporting,775,199,25.68,40,135,1,,23
336100,TC-Election Day Reporting,1245,490,39.36,100,279,5,,106
336100,TC-Vote by Mail Reporting,1245,386,31,88,225,6,,67
336200,TC-Election Day Reporting,1003,372,37.09,80,207,1,,84
336200,TC-Vote by Mail Reporting,1003,246,24.53,56,157,3,1,29
336400,TC-Election Day Reporting,797,333,41.78,61,185,1,1,85
336400,TC-Vote by Mail Reporting,797,199,24.97,63,110,3,,23
336500,TC-Election Day Reporting,1460,578,39.59,124,346,5,,103
336500,TC-Vote by Mail Reporting,1460,424,29.04,107,270,5,2,40
336600,TC-Election Day Reporting,1317,478,36.29,81,298,,,99
336600,TC-Vote by Mail Reporting,1317,388,29.46,83,249,2,2,52
336710,TC-Election Day Reporting,1416,523,36.94,91,313,3,,116
336710,TC-Vote by Mail Reporting,1416,406,28.67,96,247,3,1,59
336900,TC-Election Day Reporting,863,298,34.53,71,158,2,,67
336900,TC-Vote by Mail Reporting,863,356,41.25,79,216,3,1,57
337000,TC-Election Day Reporting,783,140,17.88,32,59,1,,48
337000,TC-Vote by Mail Reporting,783,284,36.27,100,120,,,64
337100,TC-Election Day Reporting,344,103,29.94,22,49,2,,30
337100,TC-Vote by Mail Reporting,344,108,31.4,26,59,2,,21
337110,TC-Election Day Reporting,545,74,13.58,16,22,,,36
337110,TC-Vote by Mail Reporting,545,238,43.67,60,96,,3,79
337200,TC-Election Day Reporting,481,153,31.81,34,80,,,39
337200,TC-Vote by Mail Reporting,481,155,32.22,44,74,,,37
344000,TC-Election Day Reporting,1005,324,32.24,79,184,,1,60
344000,TC-Vote by Mail Reporting,1005,334,33.23,101,192,5,,36
344010,TC-Election Day Reporting,686,204,29.74,33,130,1,,40
344010,TC-Vote by Mail Reporting,686,215,31.34,65,123,1,1,25
344100,TC-Election Day Reporting,601,209,34.78,42,131,4,1,31
344100,TC-Vote by Mail Reporting,601,200,33.28,70,113,,,17
344200,TC-Election Day Reporting,1131,406,35.9,85,245,9,1,66
344200,TC-Vote by Mail Reporting,1131,417,36.87,121,233,5,,58
344400,TC-Election Day Reporting,883,262,29.67,65,144,,,53
344400,TC-Vote by Mail Reporting,883,453,51.3,135,246,4,,68
344500,TC-Election Day Reporting,1351,445,32.94,104,249,,,92
344500,TC-Vote by Mail Reporting,1351,590,43.67,177,329,5,2,77
344600,TC-Election Day Reporting,796,279,35.05,78,149,2,,50
344600,TC-Vote by Mail Reporting,796,365,45.85,109,207,,,49
344700,TC-Election Day Reporting,584,174,29.79,42,95,,,37
344700,TC-Vote by Mail Reporting,584,325,55.65,105,174,2,,44
344800,TC-Election Day Reporting,660,225,34.09,56,117,1,,51
344800,TC-Vote by Mail Reporting,660,318,48.18,93,166,1,2,56
344900,TC-Election Day Reporting,820,261,31.83,56,146,,,59
344900,TC-Vote by Mail Reporting,820,357,43.54,111,203,,,43
345000,TC-Election Day Reporting,835,66,7.9,10,33,4,,19
345000,TC-Vote by Mail Reporting,835,327,39.16,116,168,3,,40
345100,TC-Election Day Reporting,972,342,35.19,57,199,5,,81
345100,TC-Vote by Mail Reporting,972,375,38.58,119,212,4,1,39
345200,TC-Election Day Reporting,870,328,37.7,67,207,2,,52
345200,TC-Vote by Mail Reporting,870,361,41.49,84,241,3,1,32
345310,TC-Election Day Reporting,750,263,35.07,54,150,3,,56
345310,TC-Vote by Mail Reporting,750,342,45.6,90,214,,,38
345400,TC-Election Day Reporting,906,364,40.18,78,212,5,,69
345400,TC-Vote by Mail Reporting,906,387,42.72,120,224,2,2,39
345500,TC-Election Day Reporting,684,240,35.09,56,132,,,52
345500,TC-Vote by Mail Reporting,684,291,42.54,69,182,,1,39
345600,TC-Election Day Reporting,721,274,38,57,157,1,,59
345600,TC-Vote by Mail Reporting,721,322,44.66,107,176,,,39
345700,TC-Election Day Reporting,788,253,32.11,58,147,3,,45
345700,TC-Vote by Mail Reporting,788,365,46.32,112,205,3,,45
345800,TC-Election Day Reporting,432,140,32.41,39,79,2,,20
345800,TC-Vote by Mail Reporting,432,188,43.52,54,105,,,29
345900,TC-Election Day Reporting,708,201,28.39,57,104,1,1,38
345900,TC-Vote by Mail Reporting,708,338,47.74,99,191,2,,46
346000,TC-Election Day Reporting,496,144,29.03,31,76,3,,34
346000,TC-Vote by Mail Reporting,496,178,35.89,54,90,3,1,30
346100,TC-Election Day Reporting,847,265,31.29,61,155,4,,45
346100,TC-Vote by Mail Reporting,847,323,38.13,106,175,,,42
346200,TC-Election Day Reporting,1233,470,38.12,102,253,9,1,105
346200,TC-Vote by Mail Reporting,1233,392,31.79,92,241,3,1,55
347100,TC-Election Day Reporting,668,204,30.54,24,147,2,,31
347100,TC-Vote by Mail Reporting,668,289,43.26,79,172,5,,33
347200,TC-Election Day Reporting,839,300,35.76,63,195,1,,41
347200,TC-Vote by Mail Reporting,839,274,32.66,71,176,1,,26
347300,TC-Election Day Reporting,1148,398,34.67,74,251,7,1,65
347300,TC-Vote by Mail Reporting,1148,512,44.6,104,348,3,3,54
353300,TC-Election Day Reporting,527,200,37.95,44,108,3,,45
353300,TC-Vote by Mail Reporting,527,153,29.03,40,94,4,,15
353310,TC-Election Day Reporting,1105,321,29.05,69,192,4,1,55
353310,TC-Vote by Mail Reporting,1105,369,33.39,88,225,4,1,51
353400,TC-Election Day Reporting,811,279,34.4,50,151,2,,76
353400,TC-Vote by Mail Reporting,811,312,38.47,92,172,2,,46
353500,TC-Election Day Reporting,950,319,33.58,58,186,1,,74
353500,TC-Vote by Mail Reporting,950,404,42.53,108,234,1,1,60
353600,TC-Election Day Reporting,761,262,34.43,51,157,2,,52
353600,TC-Vote by Mail Reporting,761,273,35.87,89,143,2,2,37
353800,TC-Election Day Reporting,504,168,33.33,33,90,5,,40
353800,TC-Vote by Mail Reporting,504,205,40.67,56,113,1,,35
353900,TC-Election Day Reporting,1096,317,28.92,69,184,3,1,60
353900,TC-Vote by Mail Reporting,1096,343,31.3,95,192,4,1,51
354000,TC-Election Day Reporting,1282,375,29.25,89,208,8,,70
354000,TC-Vote by Mail Reporting,1282,379,29.56,103,221,5,1,49
354100,TC-Election Day Reporting,1475,463,31.39,71,295,4,,93
354100,TC-Vote by Mail Reporting,1475,554,37.56,146,335,5,,68
354110,TC-Election Day Reporting,624,197,31.57,38,116,,,43
354110,TC-Vote by Mail Reporting,624,253,40.54,86,136,,,31
354300,TC-Election Day Reporting,1177,365,31.01,94,208,6,,57
354300,TC-Vote by Mail Reporting,1177,351,29.82,117,196,,,38
354400,TC-Election Day Reporting,821,215,26.19,42,137,3,,33
354400,TC-Vote by Mail Reporting,821,289,35.2,71,170,1,1,46
354500,TC-Election Day Reporting,1360,403,29.63,69,237,9,2,86
354500,TC-Vote by Mail Reporting,1360,417,30.66,121,233,5,1,57
354700,TC-Election Day Reporting,851,259,30.43,65,125,3,1,65
354700,TC-Vote by Mail Reporting,851,295,34.67,74,193,1,1,26
354900,TC-Election Day Reporting,658,204,31,32,134,,,38
